name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.011443703960195,-0.01221224805544,0.007941730308075,-0.051290801800022,-0.034915047958423,0.006885089636086,0.013754647271615
"Cortical Thickness, eNet",eNet_cort,0.008832321718812,0.000808542438092,0.00820520074033,-0.062138118046854,-0.063982153991369,-0.002913775371696,-0.000736069063814
"Facename: Encoding-Distractor, eNet",eNet_facename,0.017683646518422,0.050011081995095,0.026243881296116,0.023243249699795,-0.051904837212813,0.038301318983732,0.070640192695152
"Facename FC, eNet",eNet_facename_FC_PCA75,-0.020113171430686,0.000423405496382,0.00441569102743,-0.055674543119564,-0.052906379634454,-0.01062730733264,-0.010109510190707
"Emotion Processing Contrast, eNet",eNet_faces,0.022326658213698,-0.003730721579232,0.007069843646721,-0.034845629414714,-0.03142655043394,-0.019757892051088,0.017807023365091
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,-0.0118846465653,-0.003923251183398,-0.009555491667098,-0.054476746392969,-0.04389464583473,-0.014864513943139,0.004179672034722
"MID Contrast, eNet",eNet_mid,-0.024068903962814,-0.00815796054892,0.001928999821206,-0.047696455116506,-0.052663859166887,-0.000256968839205,-0.015276161048301
"MID FC, eNet",eNet_mid_FC_PCA75,-0.009240656238398,-0.004902853670753,0.002689620410665,-0.059392267931166,-0.050182708904429,-0.000199289753132,0.007228991784264
"Resting State FC, eNet",eNet_rest_PCA75,0.005102152925047,0.015694658045148,0.017254773117184,-0.034789656486342,-0.031054952874251,0.002421057112045,-0.012132335803688
"Stroop Contrast, eNet",eNet_stroop,-0.000316354404277,-0.005483032219101,0.014361500151495,-0.057002032719036,-0.050182708904429,-0.000256968839205,-0.000736069063814
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.008961835763976,0.004990814030445,0.003722535640445,-0.04377177331885,-0.049004862045013,-0.008042404620985,-0.014858470582999
"Subcortical Volume, eNet",eNet_subc,-0.003350026360903,-0.023823018599745,-0.004586446052117,-0.050604026685503,-0.049362793427229,-0.00037197906551,-0.000896174009616
"Surface Area, eNet",eNet_surf,-0.02073474469531,-0.015182330121849,-0.001369370950471,-0.057002032719036,-0.050182708904429,0.003854937835391,-0.009055445957921
"Total Brain Volume, RF",rf_brainVol,-0.01450958718335,-0.016910671213655,0.004736358509147,-0.04079036115936,-0.039008661622353,0.01312415357945,0.004632168133982
"Cortical Thickness, RF",rf_cort,0.006509425600756,-0.045387603709495,-0.003193185872049,-0.055445742336467,-0.081361790483607,-0.004198279000603,0.017564985961744
"Facename: Encoding-Distractor, RF",rf_facename,-0.012592572715765,0.021675975406664,0.014266550808132,-0.018394431992092,-0.06085960155158,0.056193820806773,0.056664540671789
"Facename FC, RF",rf_facename_FC_PCA75,-0.002006326438888,-0.003948425780468,-0.00445337451501,-0.060771300170831,-0.052581921501837,-0.004937655222202,-0.001024506505946
"Emotion Processing Contrast, RF",rf_faces,0.029438571989562,-0.033193634612452,0.00133010292364,-0.039025550398411,-0.050528953761114,0.007653375199387,0.033188904457129
"Emotion Processing FC, RF",rf_faces_FC_PCA75,-0.006147913091152,-0.000290647882628,-0.016071276243107,-0.044518720197175,-0.045672379902654,0.002065311169324,0.015217168911596
"MID Contrast, RF",rf_mid,-0.006915961822989,-0.014736085285063,-0.003069019582841,-0.052387599747842,-0.059519292451333,0.004430031877085,-0.01200079405686
"MID FC, RF",rf_mid_FC_PCA75,-0.035696481823588,-0.000772342959534,-0.015642424716248,-0.064306549911282,-0.044906606102482,-0.000808710602176,0.015103909321067
"Resting State FC, RF",rf_rest_PCA75,0.000107579148318,0.00450858366786,0.002828181960712,-0.053693985987543,-0.044372233202129,-0.013670784560031,-0.00014076928167
"Stroop Contrast, RF",rf_stroop,-0.009279393658137,-0.002644087260229,0.018814140196629,-0.030262644418661,-0.021709463017262,0.032887792350701,0.005516762106599
"Stroop FC, RF",rf_stroop_FC_PCA75,-0.022679678970841,0.013671823854255,-0.006174155599971,-0.059609795647039,-0.051887030621253,0.019885398965659,0.001073761047889
"Subcortical Volume, RF",rf_subc,-0.011123152815755,-0.004723204970555,-0.018955928374693,-0.046671297652908,-0.069172672687954,-0.025913930304939,0.001105042247352
"Surface Area, RF",rf_surf,-0.003848487592965,-0.014713713493973,-0.000390628037012,-0.044684033986005,-0.040837030897385,0.00764307839742,-0.009072913115853
"Total Brain Volume, SVR",svr_brainVol,0.013252130386829,-0.017228080110294,0.015755385475124,-0.07629575706208,-0.023489116203589,0.000166671946332,0.022194607090281
"Cortical Thickness, SVR",svr_cort,0.00680123513055,-0.008634245489339,0.000776848168302,-0.072724394746791,-0.048688487532344,-0.004365106307169,0.000761638552287
"Facename: Encoding-Distractor, SVR",svr_facename,-0.021503182104067,0.015696791663093,-0.042578239796209,-0.011957134979624,-0.032762593388438,0.024424023895196,0.054378616177971
"Facename FC, SVR",svr_facename_FC_PCA75,0.002198021129748,-0.007634475184388,-0.001919039340291,-0.060211274916169,-0.03968311741165,-0.011141884074575,-0.005406629527871
"Emotion Processing Contrast, SVR",svr_faces,0.032488322103677,-0.069875361823712,0.008746826070197,-0.056228356315844,-0.085111125027143,-0.042914287904854,0.010849193291236
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,-0.017484767567197,-0.012960425093469,-0.004239412922712,-0.067487684034844,-0.042172709685989,-0.008506370888667,0.007188557055481
"MID Contrast, SVR",svr_mid,-0.008918972680958,-0.018407234029566,-5.03072802220395E-05,-0.061742339882573,-0.036379014365738,-0.000387872836273,-0.024035659560383
"MID FC, SVR",svr_mid_FC_PCA75,-0.019658970165508,-0.013673213049274,-0.015871287824678,-0.067422689241228,-0.038175563922682,-1.65580846893665E-05,0.003985349732967
"Resting State FC, SVR",svr_rest_PCA75,0.003286831202769,0.011953945080027,0.012957601775023,-0.039282126681407,-0.036213246029997,-0.003587003542872,-0.022961949756249
"Stroop Contrast, SVR",svr_stroop,-0.014093398035394,-0.016797497803374,-0.004666463905598,-0.019654007208347,0.033143717542149,-0.015216226849354,0.027454398761943
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.017291303491651,-0.00658109613966,-0.001799752376004,-0.06502752581647,-0.021567214337355,-0.008380406616483,-0.004674986967195
"Subcortical Volume, SVR",svr_subc,-0.003994580812144,-0.052022876770512,-3.73956451882318E-05,-0.057964890155489,-0.037867590399493,-0.000258258711055,-0.000508963866741
"Surface Area, SVR",svr_surf,-8.90819198986481E-05,-0.016316083336253,-6.36554447615012E-05,-0.067571997871515,-0.038171806820262,-0.000420104884527,-0.008866299855245
"Total Brain Volume, XGB",xgb_brainVol,-0.031421688942523,-0.027408925583014,0.024293800060769,-0.060990525193197,-0.055696021626597,0.014843290004028,0.034009716216273
"Cortical Thickness, XGB",xgb_cort,-0.037243812384754,-0.081752705250512,0.026999260461475,-0.047729774075295,-0.11670743368196,-0.021039858896207,0.023440746541716
"Facename: Encoding-Distractor, XGB",xgb_facename,-0.009836806513206,0.030147594721679,-0.0117220796317,-0.00428597886391,-0.041500769465908,0.068992746933778,0.058090420551949
"Facename FC, XGB",xgb_facename_FC_PCA75,-0.026252360186388,-0.032043487662994,-0.016976607546786,-0.045577857684401,-0.059108923732703,-0.021979162977922,-0.014313369728877
"Emotion Processing Contrast, XGB",xgb_faces,0.039740811358964,-0.11174470716974,0.019670114544155,-0.106972297410401,0.036647806255331,-0.000319954603939,0.00236372375665
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,-0.031656583229797,-0.02073016420368,-0.007226580659113,-0.033615163760492,-0.068816450963039,-0.027139591700368,-0.022785189395025
"MID Contrast, XGB",xgb_mid,-0.05262071611407,-0.025254222540912,0.005285230347279,-0.030935136025218,-0.059711197705096,0.010346532205017,-0.050949981243385
"MID FC, XGB",xgb_mid_FC_PCA75,-0.044307257959622,0.010235371963602,-0.030873594563621,-0.066479202694549,-0.007025071706392,-0.010808706511835,0.046922589562591
"Resting State FC, XGB",xgb_rest_PCA75,-0.0757753842482,0.011942290662163,0.026931647295873,-0.055792554003548,-0.028324715718233,-0.031958232378473,-0.007256145450325
"Stroop Contrast, XGB",xgb_stroop,0.00210343265888,-0.027088910262973,0.000739447898927,-0.031416376059096,-0.02125740721805,0.014679426078037,-0.008757552024546
"Stroop FC, XGB",xgb_stroop_FC_PCA75,-0.048178717987058,0.012115237702345,-0.023791583221744,-0.066284832088635,-0.052944564999085,0.011806394605299,0.008161981653861
"Subcortical Volume, XGB",xgb_subc,-0.045539567113549,-0.028827184157946,-0.012421337900667,-0.012260315491862,-0.058249076697283,-0.062798924470555,-0.022776021614698
"Surface Area, XGB",xgb_surf,-0.008835218640768,-0.020146309075435,-0.014017625076904,-0.00098485547872,-0.017422162343093,0.023257301392117,0.004400557823307
"Stacked: All, eNet+eNet",eNet_eNet_set1,-0.233436035615727,0.038617040225353,0.013041929923586,0.057379923979535,-0.105932330873658,-0.05950985576874,-0.041883350212696
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,-0.095477813633832,0.028864409202028,-0.044263909247175,0.061168592535679,-0.116740868818919,-0.068614779443747,-0.093098146057678
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,-0.18789855675549,-0.041293370685819,0.039463489913307,0.021459563809979,-0.023315833731906,-0.005262015529165,-0.140635653371061
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,-0.227857514859296,-0.023469927252167,-0.04549382669935,-0.076197571584743,-0.084618505178233,-0.120080738159163,-0.047257776840826
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,-0.201898428941144,0.044007021921549,-0.046654544363904,0.044189378138067,-0.10760534699997,-0.088915630178182,-0.020186770329607
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,-0.232269435402617,0.02775487850732,0.018919596979628,0.088533155082972,-0.106537670355556,-0.014673458018324,-0.103982581354186
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,-0.280276549888432,-0.035247323595829,0.003859681259488,-0.010045348594279,-0.080533518385503,-0.10195203422309,-0.109607081925884
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,-0.182833241299193,0.001065644086069,0.000501486295913,0.000108234792363,-0.045126732925915,-0.105000348589453,-0.064187986386876
"Stacked: All, eNet+RF",eNet_rf_set1,-0.280883781846925,0.037185812232793,-0.042992001432912,0.032318036797938,-0.090286301579178,-0.038344956638331,-0.005674768016456
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,-0.024263873313437,0.001096767618974,-0.075241368037115,0.050239719409584,-0.170001000582331,-0.028334109026141,-0.018949682410295
"Stacked: Non Task, eNet+RF",eNet_rf_set3,-0.208022026889571,-0.043532176206455,0.046755213368749,0.01771446423202,-0.043517938684113,-0.019661088320169,-0.11241552898543
"Stacked: Task FC, eNet+RF",eNet_rf_set4,-0.233194031170539,-0.000383767800604,-0.061010627775222,-0.045737359970189,-0.10815679449211,-0.117819785286564,-0.04793371886566
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,-0.245324515853459,0.027310301138525,-0.107108033325757,0.019624360533407,-0.132114992737576,-0.088891015599222,0.010315295970014
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,-0.206765569186286,0.029007564474691,-0.020641624440074,0.093874024592241,-0.092543069365998,0.027296204683911,-0.040374387556376
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,-0.316074474167733,-0.02463985581996,-0.057955385844347,0.012143459298798,-0.054784906572136,-0.079388990513422,-0.094550105747093
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,-0.212176822089332,0.030664257890886,-0.039340300717405,0.030754465854963,-0.067225550580562,-0.076987424866649,-0.063984217194756
"Stacked: All, eNet+SVR",eNet_svr_set1,-0.240129024756959,0.029401166941375,0.002329151860736,0.05153137396846,-0.085840204287989,-0.070462753160343,-0.056526424498006
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,-0.111305321994214,0.020048429959141,-0.053439502626865,0.056400073627214,-0.100424616295108,-0.082316791663682,-0.159339848246175
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,-0.191261433346764,-0.040926852378685,0.037806320734166,0.01672339131564,-0.018610729732412,-0.037224523741946,-0.17578417820599
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,-0.238620998406894,-0.031947864649201,-0.034982553006707,-0.087341013444339,-0.084730656258777,-0.115555251745046,-0.110250980258482
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,-0.226886580854901,0.034536146553431,-0.058263994372721,0.027064394754309,-0.105597775827821,-0.099434284675508,-0.073512101391268
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,-0.27569908246663,0.017644099574567,0.024427683990124,0.08281338553344,-0.126414784694898,-0.052592245547068,-0.14290522620289
"Stacked: All excluding Task Contrast, eNet+SVR",eNet_svr_set7,-0.28654287996578,-0.044921976441383,-0.004992277360388,-0.026052242017928,-0.08301185666671,-0.123934583216893,-0.142903709424353
"Stacked: Resting and Task FC, eNet+SVR",eNet_svr_set8,-0.174500940441797,0.007393439311349,0.004576206216511,-0.002045177422465,-0.044171072056478,-0.09194890358989,-0.079508756651984
"Stacked: All, eNet+XGB",eNet_xgb_set1,-0.333026030027588,0.007924366821526,-0.05831695237683,0.033073078398818,-0.114637043865936,-0.054833911542758,-0.053493065556444
"Stacked: Task Contrast, eNet+XGB",eNet_xgb_set2,-0.068180083674783,0.010001230638041,-0.064376001268991,0.046097126090124,-0.162313334859841,-0.072718272094295,-0.0861976687273
"Stacked: Non Task, eNet+XGB",eNet_xgb_set3,-0.207932468233967,-0.044780883221033,0.048053606810796,0.01725451401502,-0.04850636884377,-0.028729582262223,-0.125567415734929
"Stacked: Task FC, eNet+XGB",eNet_xgb_set4,-0.265484628711043,-0.016430019114072,-0.113142373708701,-0.067897851969398,-0.087830303700993,-0.125645218745721,-0.027709216707177
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,-0.312615878283446,0.033433439928305,-0.132384362206156,0.024929631931632,-0.133954691228098,-0.095542484757211,-0.029117731935927
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,-0.237965919307558,0.035405481747835,-0.031373615563793,0.084582170723465,-0.139739407844933,0.010206170144673,-0.138921988973809
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,-0.375842942404985,-0.039682287712905,-0.055279809756707,-0.006561610840385,-0.078177692362872,-0.101540679743593,-0.133612514436678
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,-0.213660526731077,0.02319199472478,-0.042059351544659,0.012217700428688,-0.056466025520341,-0.089545339081044,-0.059308162689943
"Stacked: All, RF+eNet",rf_eNet_set1,0.015212716970469,0.00608476414317,0.009730322307597,-0.026219290599861,-0.033938161194182,0.017977265078512,0.077447798700249
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.026982453796206,-0.012716342598399,0.003016331307177,-0.033040703296092,-0.068403994405071,-0.00384082383847,0.078825531242788
"Stacked: Non Task, RF+eNet",rf_eNet_set3,-0.024215937766391,-0.036185135508205,-0.08220520423299,-0.003107392839224,-0.103062002081336,-0.050838016296629,-0.186613595549644
"Stacked: Task FC, RF+eNet",rf_eNet_set4,-0.355685367487174,-0.032296608106774,-0.036336355515994,-0.058740795996444,-0.053487501258627,-0.015809530793873,0.011544693428299
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.019632588249822,0.000158897071048,-0.003186285125399,-0.032705132808411,-0.040383322005988,0.024000365882325,0.076726377320623
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.022836888235869,-0.005847328431143,0.00502623334607,-0.037035946892643,-0.073582818650185,-0.006480188218096,0.080877117825368
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,-0.026328314210973,-0.031053127636752,-0.032817761227532,-0.051903336206337,-0.070490167105504,-0.01618169570974,0.011544693428299
